M,C
0,11
1,20
2,29
3,38
4,47
5,56
6,65
7,74
8,83
9,92
10,101
11,110
12,119
13,128
14,137
15,146
16,155
17,164
18,173
19,182
20,191
21,200
22,209
23,218
24,227
25,236
26,245
27,254
28,263
29,272
30,281
31,290
32,299
33,308
34,317
35,326
36,335
37,344
38,353
39,362
40,371
41,380
42,389
43,398
44,407
45,416
46,425
47,434
48,443
49,452
50,461
51,470
52,479
53,488
54,497
55,506
56,515
57,524
58,533
59,542
60,551
61,560
62,569
63,578
64,587
65,596
66,605
67,614
68,623
69,632
70,641
71,650
72,659
73,668
74,677
75,686
76,695
77,704
78,713
79,722
80,731
81,740
82,749
83,758
84,767
85,776
86,785
87,794
88,803
89,812
90,821
91,830
92,839
93,848
94,857
95,866
96,875
97,884
98,893
99,902
